sample_index,intensity_counts,fitted_counts,residual_counts
0,0,-35.81292763,35.81292763
1,0,-35.49701981,35.49701981
2,0,-35.18083986,35.18083986
3,0,-34.86438836,34.86438836
4,0,-34.5476659,34.5476659
5,0,-34.23067307,34.23067307
6,0,-33.91341044,33.91341044
7,0,-33.59587861,33.59587861
8,0,-33.27807818,33.27807818
9,0,-32.96000973,32.96000973
10,0,-32.64167387,32.64167387
11,0,-32.32307119,32.32307119
12,0,-32.0042023,32.0042023
13,0,-31.68506781,31.68506781
14,0,-31.36566831,31.36566831
15,0,-31.04600442,31.04600442
16,0,-30.72607676,30.72607676
17,0,-30.40588593,30.40588593
18,0,-30.08543255,30.08543255
19,0,-29.76471724,29.76471724
20,0,-29.44374063,29.44374063
21,0,-29.12250334,29.12250334
22,0,-28.801006,28.801006
23,0,-28.47924922,28.47924922
24,0,-28.15723366,28.15723366
25,0,-27.83495993,27.83495993
26,0,-27.51242868,27.51242868
27,0,-27.18964055,27.18964055
28,0,-26.86659617,26.86659617
29,0,-26.54329619,26.54329619
30,0,-26.21974126,26.21974126
31,0,-25.89593202,25.89593202
32,0,-25.57186912,25.57186912
33,0,-25.24755323,25.24755323
34,0,-24.92298499,24.92298499
35,0,-24.59816507,24.59816507
36,0,-24.27309411,24.27309411
37,0,-23.9477728,23.9477728
38,0,-23.62220179,23.62220179
39,0,-23.29638175,23.29638175
40,0,-22.97031335,22.97031335
41,0,-22.64399726,22.64399726
42,0,-22.31743416,22.31743416
43,0,-21.99062473,21.99062473
44,0,-21.66356964,21.66356964
45,0,-21.33626959,21.33626959
46,0,-21.00872524,21.00872524
47,0,-20.6809373,20.6809373
48,0,-20.35290646,20.35290646
49,0,-20.02463339,20.02463339
50,0,-19.6961188,19.6961188
51,0,-19.36736339,19.36736339
52,0,-19.03836785,19.03836785
53,0,-18.70913289,18.70913289
54,0,-18.37965922,18.37965922
55,0,-18.04994752,18.04994752
56,0,-17.71999853,17.71999853
57,0,-17.38981294,17.38981294
58,0,-17.05939148,17.05939148
59,0,-16.72873486,16.72873486
60,0,-16.39784379,16.39784379
61,0,-16.066719,16.066719
62,0,-15.73536122,15.73536122
63,0,-15.40377116,15.40377116
64,0,-15.07194956,15.07194956
65,0,-14.73989715,14.73989715
66,1,-14.40761466,15.40761466
67,0,-14.07510283,14.07510283
68,0,-13.7423624,13.7423624
69,0,-13.40939409,13.40939409
70,0,-13.07619867,13.07619867
71,0,-12.74277688,12.74277688
72,0,-12.40912945,12.40912945
73,0,-12.07525715,12.07525715
74,0,-11.74116072,11.74116072
75,0,-11.40684092,11.40684092
76,0,-11.07229851,11.07229851
77,0,-10.73753425,10.73753425
78,0,-10.4025489,10.4025489
79,0,-10.06734321,10.06734321
80,0,-9.731917975,9.731917975
81,0,-9.396273945,9.396273945
82,0,-9.060411897,9.060411897
83,0,-8.724332606,8.724332606
84,1,-8.388036847,9.388036847
85,3,-8.051525399,11.0515254
86,6,-7.714799045,13.71479904
87,6,-7.377858567,13.37785857
88,9,-7.040704752,16.04070475
89,9,-6.703338388,15.70333839
90,9,-6.365760267,15.36576027
91,6,-6.027971181,12.02797118
92,6,-5.689971926,11.68997193
93,3,-5.3517633,8.3517633
94,1,-5.013346104,6.013346104
