sample_index,intensity_counts,fitted_counts,residual_counts
0,0,-2.403021946,2.403021946
1,0,-2.402925484,2.402925484
2,0,-2.402826231,2.402826231
3,0,-2.40272411,2.40272411
4,0,-2.402619044,2.402619044
5,0,-2.402510951,2.402510951
6,0,-2.40239975,2.40239975
7,0,-2.402285355,2.402285355
8,0,-2.402167679,2.402167679
9,0,-2.402046635,2.402046635
10,0,-2.401922129,2.401922129
11,0,-2.40179407,2.40179407
12,0,-2.40166236,2.40166236
13,0,-2.401526901,2.401526901
14,0,-2.401387593,2.401387593
15,0,-2.401244331,2.401244331
16,0,-2.401097011,2.401097011
17,0,-2.400945523,2.400945523
18,0,-2.400789756,2.400789756
19,0,-2.400629596,2.400629596
20,0,-2.400464925,2.400464925
21,0,-2.400295624,2.400295624
22,0,-2.40012157,2.40012157
23,0,-2.399942636,2.399942636
24,0,-2.399758694,2.399758694
25,0,-2.399569611,2.399569611
26,0,-2.399375252,2.399375252
27,0,-2.399175478,2.399175478
28,0,-2.398970146,2.398970146
29,0,-2.398759112,2.398759112
30,0,-2.398542224,2.398542224
31,0,-2.398319331,2.398319331
32,0,-2.398090276,2.398090276
33,0,-2.397854898,2.397854898
34,0,-2.397613032,2.397613032
35,0,-2.397364511,2.397364511
36,0,-2.397109161,2.397109161
37,0,-2.396846807,2.396846807
38,0,-2.396577267,2.396577267
39,0,-2.396300356,2.396300356
40,0,-2.396015884,2.396015884
41,0,-2.395723657,2.395723657
42,0,-2.395423476,2.395423476
43,0,-2.395115138,2.395115138
44,0,-2.394798435,2.394798435
45,0,-2.394473151,2.394473151
46,0,-2.394139071,2.394139071
47,0,-2.393795969,2.393795969
48,0,-2.393443617,2.393443617
49,0,-2.393081781,2.393081781
50,0,-2.39271022,2.39271022
51,0,-2.392328691,2.392328691
52,0,-2.39193694,2.39193694
53,0,-2.391534713,2.391534713
54,0,-2.391121744,2.391121744
55,0,-2.390697767,2.390697767
56,0,-2.390262505,2.390262505
57,0,-2.389815676,2.389815676
58,0,-2.389356993,2.389356993
59,0,-2.38888616,2.38888616
60,0,-2.388402877,2.388402877
61,0,-2.387906834,2.387906834
62,0,-2.387397717,2.387397717
63,0,-2.386875202,2.386875202
64,0,-2.386338959,2.386338959
65,0,-2.385788652,2.385788652
66,0,-2.385223933,2.385223933
67,0,-2.384644452,2.384644452
68,0,-2.384049846,2.384049846
69,0,-2.383439746,2.383439746
70,0,-2.382813775,2.382813775
71,0,-2.382171547,2.382171547
72,0,-2.381512668,2.381512668
73,0,-2.380836734,2.380836734
74,0,-2.380143332,2.380143332
75,0,-2.379432042,2.379432042
76,0,-2.378702432,2.378702432
77,0,-2.377954062,2.377954062
78,0,-2.377186482,2.377186482
79,0,-2.376399232,2.376399232
80,0,-2.375591841,2.375591841
81,0,-2.37476383,2.37476383
82,0,-2.373914707,2.373914707
83,0,-2.373043971,2.373043971
84,0,-2.372151108,2.372151108
85,0,-2.371235597,2.371235597
86,0,-2.3702969,2.3702969
87,0,-2.369334472,2.369334472
88,0,-2.368347754,2.368347754
89,0,-2.367336176,2.367336176
90,0,-2.366299155,2.366299155
91,0,-2.365236096,2.365236096
92,0,-2.364146391,2.364146391
93,0,-2.363029419,2.363029419
94,0,-2.361884546,2.361884546
95,0,-2.360711125,2.360711125
96,0,-2.359508494,2.359508494
97,0,-2.358275978,2.358275978
98,0,-2.357012888,2.357012888
99,0,-2.355718521,2.355718521
100,0,-2.354392156,2.354392156
101,0,-2.353033061,2.353033061
102,0,-2.351640487,2.351640487
103,0,-2.35021367,2.35021367
104,0,-2.348751828,2.348751828
105,0,-2.347254165,2.347254165
106,0,-2.345719869,2.345719869
107,0,-2.34414811,2.34414811
108,0,-2.342538041,2.342538041
109,0,-2.340888797,2.340888797
110,0,-2.339199498,2.339199498
111,0,-2.337469243,2.337469243
112,0,-2.335697114,2.335697114
113,0,-2.333882175,2.333882175
114,0,-2.332023469,2.332023469
115,0,-2.330120023,2.330120023
116,0,-2.328170841,2.328170841
117,0,-2.326174909,2.326174909
118,0,-2.324131192,2.324131192
119,0,-2.322038635,2.322038635
120,0,-2.319896162,2.319896162
121,0,-2.317702673,2.317702673
122,0,-2.31545705,2.31545705
123,0,-2.313158151,2.313158151
124,0,-2.310804812,2.310804812
125,0,-2.308395845,2.308395845
126,0,-2.305930039,2.305930039
127,0,-2.303406162,2.303406162
128,0,-2.300822955,2.300822955
129,0,-2.298179134,2.298179134
130,0,-2.295473393,2.295473393
131,0,-2.292704399,2.292704399
132,0,-2.289870793,2.289870793
133,0,-2.286971191,2.286971191
134,0,-2.284004181,2.284004181
135,0,-2.280968325,2.280968325
136,0,-2.277862158,2.277862158
137,0,-2.274684186,2.274684186
138,0,-2.271432887,2.271432887
139,0,-2.268106711,2.268106711
140,0,-2.264704078,2.264704078
141,0,-2.261223378,2.261223378
142,0,-2.257662972,2.257662972
143,0,-2.254021188,2.254021188
144,0,-2.250296326,2.250296326
145,0,-2.246486652,2.246486652
146,0,-2.242590401,2.242590401
147,0,-2.238605775,2.238605775
148,0,-2.234530943,2.234530943
149,1,-2.230364039,3.230364039
150,0,-2.226103166,2.226103166
151,0,-2.221746389,2.221746389
152,0,-2.21729174,2.21729174
153,0,-2.212737214,2.212737214
154,0,-2.20808077,2.20808077
155,0,-2.20332033,2.20332033
156,0,-2.198453779,2.198453779
157,1,-2.193478964,3.193478964
158,0,-2.188393694,2.188393694
159,0,-2.183195737,2.183195737
160,0,-2.177882824,2.177882824
161,1,-2.172452644,3.172452644
162,1,-2.166902845,3.166902845
163,1,-2.161231034,3.161231034
164,0,-2.155434777,2.155434777
165,0,-2.149511596,2.149511596
166,0,-2.143458971,2.143458971
167,0,-2.137274336,2.137274336
168,0,-2.130955084,2.130955084
169,0,-2.124498559,2.124498559
170,0,-2.117902062,2.117902062
171,0,-2.111162846,2.111162846
172,0,-2.104278119,2.104278119
173,0,-2.09724504,2.09724504
174,0,-2.09006072,2.09006072
175,0,-2.082722219,2.082722219
176,0,-2.075226552,2.075226552
177,0,-2.067570679,2.067570679
178,0,-2.059751511,2.059751511
179,0,-2.051765909,2.051765909
180,0,-2.043610678,2.043610678
181,0,-2.035282573,2.035282573
182,0,-2.026778294,2.026778294
183,0,-2.018094487,2.018094487
184,0,-2.009227742,2.009227742
185,0,-2.000174594,2.000174594
186,0,-1.990931521,1.990931521
187,0,-1.981494944,1.981494944
188,0,-1.971861226,1.971861226
189,0,-1.962026671,1.962026671
190,0,-1.951987524,1.951987524
191,0,-1.941739969,1.941739969
192,0,-1.931280129,1.931280129
193,0,-1.920604065,1.920604065
194,0,-1.909707778,1.909707778
195,0,-1.898587203,1.898587203
196,0,-1.887238211,1.887238211
197,0,-1.87565661,1.87565661
198,0,-1.863838141,1.863838141
199,0,-1.851778479,1.851778479
200,0,-1.839473233,1.839473233
201,0,-1.826917943,1.826917943
202,0,-1.814108079,1.814108079
203,1,-1.801039044,2.801039044
204,0,-1.78770617,1.78770617
205,0,-1.774104716,1.774104716
206,0,-1.760229873,1.760229873
207,0,-1.746076755,1.746076755
208,0,-1.731640405,1.731640405
209,0,-1.716915791,1.716915791
210,0,-1.701897807,1.701897807
211,0,-1.68658127,1.68658127
212,0,-1.670960919,1.670960919
213,0,-1.655031417,1.655031417
214,0,-1.638787349,1.638787349
215,0,-1.62222322,1.62222322
216,0,-1.605333455,1.605333455
217,1,-1.588112398,2.588112398
218,0,-1.570554311,1.570554311
