sample_index,intensity_counts,fitted_counts,residual_counts
0,0,-0.1783165606,0.1783165606
1,0,-0.1783165606,0.1783165606
2,0,-0.1783165606,0.1783165606
3,0,-0.1783165606,0.1783165606
4,0,-0.1783165606,0.1783165606
5,0,-0.1783165606,0.1783165606
6,0,-0.1783165606,0.1783165606
7,0,-0.1783165606,0.1783165606
8,0,-0.1783165606,0.1783165606
9,0,-0.1783165606,0.1783165606
10,0,-0.1783165606,0.1783165606
11,0,-0.1783165606,0.1783165606
12,0,-0.1783165606,0.1783165606
13,0,-0.1783165606,0.1783165606
14,0,-0.1783165606,0.1783165606
15,0,-0.1783165606,0.1783165606
16,0,-0.1783165606,0.1783165606
17,0,-0.1783165606,0.1783165606
18,0,-0.1783165606,0.1783165606
19,0,-0.1783165606,0.1783165606
20,0,-0.1783165606,0.1783165606
21,0,-0.1783165606,0.1783165606
22,0,-0.1783165606,0.1783165606
23,0,-0.1783165606,0.1783165606
24,0,-0.1783165606,0.1783165606
25,0,-0.1783165606,0.1783165606
26,0,-0.1783165606,0.1783165606
27,0,-0.1783165606,0.1783165606
28,0,-0.1783165606,0.1783165606
29,0,-0.1783165606,0.1783165606
30,0,-0.1783165606,0.1783165606
31,0,-0.1783165606,0.1783165606
32,0,-0.1783165606,0.1783165606
33,0,-0.1783165606,0.1783165606
34,0,-0.1783165606,0.1783165606
35,0,-0.1783165606,0.1783165606
36,0,-0.1783165606,0.1783165606
37,0,-0.1783165606,0.1783165606
38,0,-0.1783165606,0.1783165606
39,0,-0.1783165606,0.1783165606
40,0,-0.1783165606,0.1783165606
41,0,-0.1783165606,0.1783165606
42,0,-0.1783165606,0.1783165606
43,0,-0.1783165606,0.1783165606
44,0,-0.1783165606,0.1783165606
45,0,-0.1783165606,0.1783165606
46,0,-0.1783165606,0.1783165606
47,0,-0.1783165606,0.1783165606
48,0,-0.1783165606,0.1783165606
49,0,-0.1783165606,0.1783165606
50,0,-0.1783165606,0.1783165606
51,0,-0.1783165606,0.1783165606
52,0,-0.1783165606,0.1783165606
53,0,-0.1783165606,0.1783165606
54,0,-0.1783165606,0.1783165606
55,0,-0.1783165606,0.1783165606
56,0,-0.1783165606,0.1783165606
57,0,-0.1783165606,0.1783165606
58,0,-0.1783165606,0.1783165606
59,0,-0.1783165606,0.1783165606
60,0,-0.1783165606,0.1783165606
61,0,-0.1783165606,0.1783165606
62,0,-0.1783165606,0.1783165606
63,0,-0.1783165606,0.1783165606
64,0,-0.1783165606,0.1783165606
65,0,-0.1783165606,0.1783165606
66,0,-0.1783165606,0.1783165606
67,0,-0.1783165606,0.1783165606
68,0,-0.1783165606,0.1783165606
69,0,-0.1783165606,0.1783165606
70,0,-0.1783165606,0.1783165606
71,0,-0.1783165606,0.1783165606
72,0,-0.1783165606,0.1783165606
73,0,-0.1783165606,0.1783165606
74,0,-0.1783165606,0.1783165606
75,0,-0.1783165606,0.1783165606
76,0,-0.1783165606,0.1783165606
77,0,-0.1783165606,0.1783165606
78,0,-0.1783165606,0.1783165606
79,0,-0.1783165606,0.1783165606
80,0,-0.1783165606,0.1783165606
81,0,-0.1783165606,0.1783165606
82,0,-0.1783165606,0.1783165606
83,0,-0.1783165606,0.1783165606
