% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (V), Channel B (V)
7.2434040000e-02, 1.4123333182e+00, -4.9650000552e-01
7.2447056000e-02, 1.4123333182e+00, -4.9683333886e-01
7.2460072000e-02, 1.4123333182e+00, -4.9716667219e-01
7.2473088000e-02, 1.4123333182e+00, -4.9746667220e-01
7.2486104000e-02, 1.4123333182e+00, -4.9776667220e-01
7.2499120000e-02, 1.4176666515e+00, -4.9810000554e-01
7.2512136000e-02, 1.4123333182e+00, -4.9840000554e-01
7.2525152000e-02, 1.4176666515e+00, -4.9870000554e-01
7.2538168000e-02, 1.4149999848e+00, -4.9903333888e-01
7.2551184000e-02, 1.4176666515e+00, -4.9933333888e-01
7.2564200000e-02, 1.4096666516e+00, -4.9963333889e-01
7.2577216000e-02, 1.4123333182e+00, -4.9996667223e-01
7.2590232000e-02, 1.4123333182e+00, -5.0026667223e-01
7.2603248000e-02, 1.4096666516e+00, -5.0056667223e-01
7.2616264000e-02, 1.4123333182e+00, -5.0090000557e-01
7.2629280000e-02, 1.4096666516e+00, -5.0120000557e-01
7.2642296000e-02, 1.4176666515e+00, -5.0150000558e-01
7.2655312000e-02, 1.4123333182e+00, -5.0183333891e-01
7.2668328000e-02, 1.4123333182e+00, -5.0216667225e-01
7.2681344000e-02, 1.4123333182e+00, -5.0246667225e-01
7.2694360000e-02, 1.4149999848e+00, -5.0276667226e-01
7.2707376000e-02, 1.4123333182e+00, -5.0310000559e-01
7.2720392000e-02, 1.4149999848e+00, -5.0340000560e-01
7.2733408000e-02, 1.4069999849e+00, -5.0370000560e-01
7.2746424000e-02, 1.4123333182e+00, -5.0403333894e-01
7.2759440000e-02, 1.4123333182e+00, -5.0433333894e-01
7.2772456000e-02, 1.4149999848e+00, -5.0463333894e-01
7.2785472000e-02, 1.4069999849e+00, -5.0496667228e-01
7.2798488000e-02, 1.4123333182e+00, -5.0526667228e-01
7.2811504000e-02, 1.4123333182e+00, -5.0556667229e-01
7.2824520000e-02, 1.4123333182e+00, -5.0590000562e-01
7.2837536000e-02, 1.4123333182e+00, -5.0620000563e-01
7.2850552000e-02, 1.4096666516e+00, -5.0650000563e-01
7.2863568000e-02, 1.4123333182e+00, -5.0683333897e-01
7.2876584000e-02, 1.4069999849e+00, -5.0713333897e-01
7.2889600000e-02, 1.4096666516e+00, -5.0746667231e-01
7.2902616000e-02, 1.4123333182e+00, -5.0776667231e-01
7.2915632000e-02, 1.4096666516e+00, -5.0806667232e-01
7.2928648000e-02, 1.4123333182e+00, -5.0840000565e-01
7.2941664000e-02, 1.4149999848e+00, -5.0870000566e-01
7.2954680000e-02, 1.4123333182e+00, -5.0903333899e-01
7.2967696000e-02, 1.4123333182e+00, -5.0933333900e-01
7.2980712000e-02, 1.4123333182e+00, -5.0963333900e-01
7.2993728000e-02, 1.4096666516e+00, -5.0996667234e-01
7.3006744000e-02, 1.4123333182e+00, -5.1026667234e-01
7.3019760000e-02, 1.4096666516e+00, -5.1056667234e-01
7.3032776000e-02, 1.4069999849e+00, -5.1090000568e-01
7.3045792000e-02, 1.4096666516e+00, -5.1120000568e-01
7.3058808000e-02, 1.4096666516e+00, -5.1150000569e-01
7.3071824000e-02, 1.4096666516e+00, -5.1183333902e-01
7.3084840000e-02, 1.4069999849e+00, -5.1213333903e-01
7.3097856000e-02, 1.4096666516e+00, -5.1246667236e-01
7.3110872000e-02, 1.4069999849e+00, -5.1276667237e-01
7.3123888000e-02, 1.4039999850e+00, -5.1306667237e-01
7.3136904000e-02, 1.4123333182e+00, -5.1340000571e-01
7.3149920000e-02, 1.4069999849e+00, -5.1370000571e-01
7.3162936000e-02, 1.4069999849e+00, -5.1400000571e-01
7.3175952000e-02, 1.4096666516e+00, -5.1433333905e-01
7.3188968000e-02, 1.4096666516e+00, -5.1463333905e-01
7.3201984000e-02, 1.4096666516e+00, -5.1493333906e-01
7.3215000000e-02, 1.4069999849e+00, -5.1526667240e-01
7.3228016000e-02, 1.4069999849e+00, -5.1556667240e-01
7.3241032000e-02, 1.4039999850e+00, -5.1590000574e-01
7.3254048000e-02, 1.4069999849e+00, -5.1620000574e-01
7.3267064000e-02, 1.4096666516e+00, -5.1650000574e-01
7.3280080000e-02, 1.4069999849e+00, -5.1683333908e-01
7.3293096000e-02, 1.4069999849e+00, -5.1713333908e-01
7.3306112000e-02, 1.4069999849e+00, -5.1746667242e-01
7.3319128000e-02, 1.4069999849e+00, -5.1776667242e-01
7.3332144000e-02, 1.4069999849e+00, -5.1806667243e-01
7.3345160000e-02, 1.4069999849e+00, -5.1840000576e-01
7.3358176000e-02, 1.4069999849e+00, -5.1870000577e-01
7.3371192000e-02, 1.4039999850e+00, -5.1900000577e-01
7.3384208000e-02, 1.4013333183e+00, -5.1933333911e-01
7.3397224000e-02, 1.4039999850e+00, -5.1963333911e-01
7.3410240000e-02, 1.4069999849e+00, -5.1993333911e-01
7.3423256000e-02, 1.4039999850e+00, -5.2026667245e-01
7.3436272000e-02, 1.4039999850e+00, -5.2056667245e-01
7.3449288000e-02, 1.4069999849e+00, -5.2086667246e-01
7.3462304000e-02, 1.4069999849e+00, -5.2120000579e-01
7.3475320000e-02, 1.4039999850e+00, -5.2150000580e-01
7.3488336000e-02, 1.4013333183e+00, -5.2180000580e-01
7.3501352000e-02, 1.4039999850e+00, -5.2213333914e-01
7.3514368000e-02, 1.4039999850e+00, -5.2243333914e-01
7.3527384000e-02, 1.4039999850e+00, -5.2276667248e-01
7.3540400000e-02, 1.4013333183e+00, -5.2306667248e-01
