% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
8.577544000000e-02, 1.486000e+00, -3.389667e-01
8.595766400000e-02, 1.494000e+00, -3.346000e-01
8.613988800000e-02, 1.506000e+00, -3.302000e-01
8.632211200000e-02, 1.510000e+00, -3.258333e-01
8.650433600000e-02, 1.516667e+00, -3.214667e-01
8.668656000000e-02, 1.520667e+00, -3.171000e-01
8.686878400000e-02, 1.524667e+00, -3.127333e-01
8.705100800000e-02, 1.526000e+00, -3.083667e-01
8.723323200000e-02, 1.531333e+00, -3.039667e-01
8.741545600000e-02, 1.531333e+00, -2.996000e-01
8.759768000000e-02, 1.535333e+00, -2.952333e-01
8.777990400000e-02, 1.536667e+00, -2.908500e-01
8.796212800000e-02, 1.542167e+00, -2.864833e-01
8.814435200000e-02, 1.544833e+00, -2.821000e-01
8.832657600000e-02, 1.547667e+00, -2.777333e-01
8.850880000000e-02, 1.549000e+00, -2.733667e-01
8.869102400000e-02, 1.550333e+00, -2.689833e-01
8.887324800000e-02, 1.554333e+00, -2.646000e-01
8.905547200000e-02, 1.555667e+00, -2.602500e-01
8.923769600000e-02, 1.558333e+00, -2.558667e-01
8.941992000000e-02, 1.563667e+00, -2.515000e-01
8.960214400000e-02, 1.563667e+00, -2.471333e-01
8.978436800000e-02, 1.566333e+00, -2.427333e-01
8.996659200000e-02, 1.570333e+00, -2.383667e-01
9.014881600000e-02, 1.570333e+00, -2.340000e-01
9.033104000000e-02, 1.571667e+00, -2.296167e-01
9.051326400000e-02, 1.573000e+00, -2.252667e-01
9.069548800000e-02, 1.573000e+00, -2.208667e-01
9.087771200000e-02, 1.573000e+00, -2.165000e-01
9.105993600000e-02, 1.573000e+00, -2.121333e-01
9.124216000000e-02, 1.570333e+00, -2.077667e-01
9.142438400000e-02, 1.565000e+00, -2.033833e-01
9.160660800000e-02, 1.553000e+00, -1.990333e-01
9.178883200000e-02, 1.536833e+00, -1.946333e-01
9.197105600000e-02, 1.511333e+00, -1.902667e-01
9.215328000000e-02, 1.481833e+00, -1.859000e-01
9.233550400000e-02, 1.436333e+00, -1.815000e-01
9.251772800000e-02, 1.384167e+00, -1.771500e-01
9.269995200000e-02, 1.323833e+00, -1.727667e-01
9.288217600000e-02, 1.266167e+00, -1.684000e-01
9.306440000000e-02, 1.201833e+00, -1.640333e-01
9.324662400000e-02, 1.148167e+00, -1.596667e-01
9.342884800000e-02, 1.104000e+00, -1.552667e-01
9.361107200000e-02, 1.070500e+00, -1.509167e-01
9.379329600000e-02, 1.051667e+00, -1.465333e-01
9.397552000000e-02, 1.053000e+00, -1.421667e-01
9.415774400000e-02, 1.067833e+00, -1.378000e-01
9.433996800000e-02, 1.100000e+00, -1.334000e-01
9.452219200000e-02, 1.149500e+00, -1.290333e-01
9.470441600000e-02, 1.203167e+00, -1.246667e-01
9.488664000000e-02, 1.262167e+00, -1.202833e-01
9.506886400000e-02, 1.326500e+00, -1.159333e-01
9.525108800000e-02, 1.389500e+00, -1.115500e-01
9.543331200000e-02, 1.444333e+00, -1.071667e-01
9.561553600000e-02, 1.495167e+00, -1.028000e-01
9.579776000000e-02, 1.534167e+00, -9.843333e-02
9.597998400000e-02, 1.563667e+00, -9.405000e-02
9.616220800000e-02, 1.589000e+00, -8.968333e-02
9.634443200000e-02, 1.609167e+00, -8.530000e-02
9.652665600000e-02, 1.622667e+00, -8.093333e-02
9.670888000000e-02, 1.630667e+00, -7.656667e-02
9.689110400000e-02, 1.638667e+00, -7.216667e-02
9.707332800000e-02, 1.641333e+00, -6.780000e-02
9.725555200000e-02, 1.645333e+00, -6.343333e-02
9.743777600000e-02, 1.649333e+00, -5.906667e-02
9.762000000000e-02, 1.653333e+00, -5.470000e-02
9.780222400000e-02, 1.653333e+00, -5.033333e-02
9.798444800000e-02, 1.657333e+00, -4.593333e-02
9.816667200000e-02, 1.657333e+00, -4.156667e-02
9.834889600000e-02, 1.660000e+00, -3.720000e-02
9.853112000000e-02, 1.664000e+00, -3.281667e-02
9.871334400000e-02, 1.666667e+00, -2.846667e-02
9.889556800000e-02, 1.668000e+00, -2.406667e-02
9.907779200000e-02, 1.670667e+00, -1.970000e-02
9.926001600000e-02, 1.673333e+00, -1.533333e-02
9.944224000000e-02, 1.674667e+00, -1.096667e-02
9.962446400000e-02, 1.676000e+00, -6.583333e-03
9.980668800000e-02, 1.678833e+00, -2.233333e-03
9.998891200000e-02, 1.680167e+00, 2.166667e-03
1.001711360000e-01, 1.684167e+00, 6.533333e-03
1.003533600000e-01, 1.685500e+00, 1.090000e-02
1.005355840000e-01, 1.687000e+00, 1.530000e-02
1.007178080000e-01, 1.689667e+00, 1.965000e-02
1.009000320000e-01, 1.691000e+00, 2.403333e-02
1.010822560000e-01, 1.693667e+00, 2.840000e-02
1.012644800000e-01, 1.699000e+00, 3.276667e-02
1.014467040000e-01, 1.697667e+00, 3.715000e-02
1.016289280000e-01, 1.701667e+00, 4.153333e-02
1.018111520000e-01, 1.704333e+00, 4.590000e-02
1.019933760000e-01, 1.705667e+00, 5.026667e-02
1.021756000000e-01, 1.708333e+00, 5.463333e-02
1.023578240000e-01, 1.708333e+00, 5.900000e-02
1.025400480000e-01, 1.709667e+00, 6.340000e-02
1.027222720000e-01, 1.708333e+00, 6.776667e-02
1.029044960000e-01, 1.703000e+00, 7.213333e-02
1.030867200000e-01, 1.692333e+00, 7.651667e-02
1.032689440000e-01, 1.674833e+00, 8.086667e-02
1.034511680000e-01, 1.645333e+00, 8.526667e-02
1.036333920000e-01, 1.606500e+00, 8.963333e-02
1.038156160000e-01, 1.548833e+00, 9.400000e-02
