% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 82.60 ms, time offset -156.6 ms, Normal acquisition mode, 28 averages
% Edge trigger: Channel B, level 90.00 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 90.0 mVpp, offset 91.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:16:39 -0500
% Time (s), Channel A (V), Channel B (V)
1.0658592000e-01, 1.8256666870e-01, 1.0183333447e-01
1.0659204000e-01, 1.8310000204e-01, 1.0186666780e-01
1.0659816000e-01, 1.8256666870e-01, 1.0186666780e-01
1.0660428000e-01, 1.8230000203e-01, 1.0186666780e-01
1.0661040000e-01, 1.8230000203e-01, 1.0190000113e-01
1.0661652000e-01, 1.8203333536e-01, 1.0190000113e-01
1.0662264000e-01, 1.8310000204e-01, 1.0190000113e-01
1.0662876000e-01, 1.8230000203e-01, 1.0193333447e-01
1.0663488000e-01, 1.8176666869e-01, 1.0193333447e-01
1.0664100000e-01, 1.8203333536e-01, 1.0193333447e-01
1.0664712000e-01, 1.8146666868e-01, 1.0196666780e-01
1.0665324000e-01, 1.8120000201e-01, 1.0196666780e-01
1.0665936000e-01, 1.8120000201e-01, 1.0196666780e-01
1.0666548000e-01, 1.8146666868e-01, 1.0200000113e-01
1.0667160000e-01, 1.8120000201e-01, 1.0200000113e-01
1.0667772000e-01, 1.8120000201e-01, 1.0200000113e-01
1.0668384000e-01, 1.8093333534e-01, 1.0203333447e-01
1.0668996000e-01, 1.8066666868e-01, 1.0203333447e-01
1.0669608000e-01, 1.8066666868e-01, 1.0203333447e-01
1.0670220000e-01, 1.8066666868e-01, 1.0206666780e-01
1.0670832000e-01, 1.8093333534e-01, 1.0206666780e-01
1.0671444000e-01, 1.8066666868e-01, 1.0206666780e-01
1.0672056000e-01, 1.8013333534e-01, 1.0210000114e-01
1.0672668000e-01, 1.8013333534e-01, 1.0210000114e-01
1.0673280000e-01, 1.7986666867e-01, 1.0210000114e-01
1.0673892000e-01, 1.7986666867e-01, 1.0213333447e-01
1.0674504000e-01, 1.8013333534e-01, 1.0213333447e-01
1.0675116000e-01, 1.7960000200e-01, 1.0213333447e-01
1.0675728000e-01, 1.7986666867e-01, 1.0216666780e-01
1.0676340000e-01, 1.7933333533e-01, 1.0216666780e-01
1.0676952000e-01, 1.7906666866e-01, 1.0216666780e-01
1.0677564000e-01, 1.7906666866e-01, 1.0220000114e-01
1.0678176000e-01, 1.7906666866e-01, 1.0220000114e-01
1.0678788000e-01, 1.7933333533e-01, 1.0220000114e-01
1.0679400000e-01, 1.7906666866e-01, 1.0223333447e-01
1.0680012000e-01, 1.7906666866e-01, 1.0223333447e-01
1.0680624000e-01, 1.7880000199e-01, 1.0223333447e-01
1.0681236000e-01, 1.7880000199e-01, 1.0226666780e-01
1.0681848000e-01, 1.7880000199e-01, 1.0226666780e-01
1.0682460000e-01, 1.7826666865e-01, 1.0226666780e-01
1.0683072000e-01, 1.7826666865e-01, 1.0230000114e-01
