% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -126.1 ms, Normal acquisition mode, 23 averages
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:29:19 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
-2.485104000000e-03, 1.751659e-01, -1.502928e-01
-2.232992000000e-03, 1.755696e-01, -1.505464e-01
-1.980880000000e-03, 1.760841e-01, -1.508000e-01
-1.728768000000e-03, 1.767152e-01, -1.510536e-01
-1.476656000000e-03, 1.774790e-01, -1.513072e-01
-1.224544000000e-03, 1.782601e-01, -1.515616e-01
-9.724320000000e-04, 1.792616e-01, -1.518174e-01
-7.203200000000e-04, 1.801326e-01, -1.520732e-01
-4.682080000000e-04, 1.810333e-01, -1.523254e-01
-2.160960000000e-04, 1.815761e-01, -1.525804e-01
3.601600000000e-05, 1.820362e-01, -1.528326e-01
2.881280000000e-04, 1.824304e-01, -1.530877e-01
5.402400000000e-04, 1.830957e-01, -1.533399e-01
7.923520000000e-04, 1.839304e-01, -1.535957e-01
1.044464000000e-03, 1.848261e-01, -1.538486e-01
1.296576000000e-03, 1.856971e-01, -1.541043e-01
1.548688000000e-03, 1.861884e-01, -1.543572e-01
1.800800000000e-03, 1.864326e-01, -1.546123e-01
2.052912000000e-03, 1.865348e-01, -1.548645e-01
2.305024000000e-03, 1.862928e-01, -1.551196e-01
2.557136000000e-03, 1.859058e-01, -1.553725e-01
2.809248000000e-03, 1.856312e-01, -1.556268e-01
3.061360000000e-03, 1.846862e-01, -1.558804e-01
3.313472000000e-03, 1.830442e-01, -1.561355e-01
3.565584000000e-03, 1.816986e-01, -1.563899e-01
3.817696000000e-03, 1.809217e-01, -1.566457e-01
4.069808000000e-03, 1.804855e-01, -1.568986e-01
4.321920000000e-03, 1.803391e-01, -1.571529e-01
4.574032000000e-03, 1.798551e-01, -1.574065e-01
4.826144000000e-03, 1.790797e-01, -1.576601e-01
5.078256000000e-03, 1.780543e-01, -1.579130e-01
5.330368000000e-03, 1.770486e-01, -1.581688e-01
5.582480000000e-03, 1.759130e-01, -1.584232e-01
5.834592000000e-03, 1.749775e-01, -1.586775e-01
6.086704000000e-03, 1.742181e-01, -1.589312e-01
6.338816000000e-03, 1.735920e-01, -1.591848e-01
6.590928000000e-03, 1.730486e-01, -1.594384e-01
6.843040000000e-03, 1.727609e-01, -1.596920e-01
7.095152000000e-03, 1.725000e-01, -1.599457e-01
7.347264000000e-03, 1.723188e-01, -1.602000e-01
7.599376000000e-03, 1.720254e-01, -1.604565e-01
7.851488000000e-03, 1.715362e-01, -1.607101e-01
8.103600000000e-03, 1.711507e-01, -1.609638e-01
8.355712000000e-03, 1.708457e-01, -1.612181e-01
8.607824000000e-03, 1.707159e-01, -1.614710e-01
8.859936000000e-03, 1.706217e-01, -1.617254e-01
9.112048000000e-03, 1.704601e-01, -1.619783e-01
9.364160000000e-03, 1.704254e-01, -1.622326e-01
9.616272000000e-03, 1.704594e-01, -1.624877e-01
9.868384000000e-03, 1.705159e-01, -1.627428e-01
1.012049600000e-02, 1.705812e-01, -1.629957e-01
1.037260800000e-02, 1.704862e-01, -1.632507e-01
1.062472000000e-02, 1.703094e-01, -1.635029e-01
1.087683200000e-02, 1.703558e-01, -1.637580e-01
1.112894400000e-02, 1.704841e-01, -1.640101e-01
1.138105600000e-02, 1.706072e-01, -1.642659e-01
1.163316800000e-02, 1.708239e-01, -1.645217e-01
1.188528000000e-02, 1.711000e-01, -1.647768e-01
1.213739200000e-02, 1.712841e-01, -1.650290e-01
1.238950400000e-02, 1.715413e-01, -1.652841e-01
1.264161600000e-02, 1.717246e-01, -1.655362e-01
1.289372800000e-02, 1.719406e-01, -1.657913e-01
1.314584000000e-02, 1.721007e-01, -1.660435e-01
1.339795200000e-02, 1.722522e-01, -1.662986e-01
1.365006400000e-02, 1.724681e-01, -1.665529e-01
1.390217600000e-02, 1.726486e-01, -1.668087e-01
1.415428800000e-02, 1.728862e-01, -1.670623e-01
1.440640000000e-02, 1.731254e-01, -1.673167e-01
1.465851200000e-02, 1.733355e-01, -1.675696e-01
1.491062400000e-02, 1.735630e-01, -1.678239e-01
1.516273600000e-02, 1.738029e-01, -1.680768e-01
1.541484800000e-02, 1.741087e-01, -1.683312e-01
1.566696000000e-02, 1.744174e-01, -1.685855e-01
1.591907200000e-02, 1.748254e-01, -1.688399e-01
1.617118400000e-02, 1.751761e-01, -1.690942e-01
1.642329600000e-02, 1.754790e-01, -1.693486e-01
1.667540800000e-02, 1.756536e-01, -1.696022e-01
1.692752000000e-02, 1.758681e-01, -1.698558e-01
1.717963200000e-02, 1.760717e-01, -1.701094e-01
1.743174400000e-02, 1.763855e-01, -1.703630e-01
1.768385600000e-02, 1.766645e-01, -1.706167e-01
1.793596800000e-02, 1.770101e-01, -1.708717e-01
1.818808000000e-02, 1.773123e-01, -1.711268e-01
1.844019200000e-02, 1.775623e-01, -1.713819e-01
1.869230400000e-02, 1.778703e-01, -1.716355e-01
1.894441600000e-02, 1.783145e-01, -1.718891e-01
1.919652800000e-02, 1.785015e-01, -1.721428e-01
1.944864000000e-02, 1.788384e-01, -1.723971e-01
1.970075200000e-02, 1.790906e-01, -1.726500e-01
1.995286400000e-02, 1.794522e-01, -1.729051e-01
2.020497600000e-02, 1.797630e-01, -1.731594e-01
2.045708800000e-02, 1.801130e-01, -1.734015e-01
2.070920000000e-02, 1.802601e-01, -1.735746e-01
2.096131200000e-02, 1.802464e-01, -1.736790e-01
2.121342400000e-02, 1.801891e-01, -1.737145e-01
2.146553600000e-02, 1.802529e-01, -1.736819e-01
2.171764800000e-02, 1.803413e-01, -1.735819e-01
2.196976000000e-02, 1.803420e-01, -1.734174e-01
2.222187200000e-02, 1.802935e-01, -1.731993e-01
2.247398400000e-02, 1.801703e-01, -1.729457e-01
2.272609600000e-02, 1.798536e-01, -1.726913e-01
2.297820800000e-02, 1.796058e-01, -1.724362e-01
2.323032000000e-02, 1.792848e-01, -1.721841e-01
2.348243200000e-02, 1.789732e-01, -1.719290e-01
2.373454400000e-02, 1.786471e-01, -1.716768e-01
2.398665600000e-02, 1.782601e-01, -1.714217e-01
2.423876800000e-02, 1.778290e-01, -1.711696e-01
2.449088000000e-02, 1.774746e-01, -1.709145e-01
2.474299200000e-02, 1.771768e-01, -1.706601e-01
2.499510400000e-02, 1.769949e-01, -1.704043e-01
2.524721600000e-02, 1.767594e-01, -1.701522e-01
2.549932800000e-02, 1.766203e-01, -1.698971e-01
2.575144000000e-02, 1.761841e-01, -1.696442e-01
2.600355200000e-02, 1.759442e-01, -1.693899e-01
2.625566400000e-02, 1.757196e-01, -1.691377e-01
2.650777600000e-02, 1.755442e-01, -1.688819e-01
2.675988800000e-02, 1.753870e-01, -1.686261e-01
2.701200000000e-02, 1.751826e-01, -1.683710e-01
2.726411200000e-02, 1.749130e-01, -1.681174e-01
2.751622400000e-02, 1.745906e-01, -1.678638e-01
2.776833600000e-02, 1.744616e-01, -1.676101e-01
2.802044800000e-02, 1.742478e-01, -1.673565e-01
2.827256000000e-02, 1.741659e-01, -1.671029e-01
2.852467200000e-02, 1.740384e-01, -1.668493e-01
2.877678400000e-02, 1.739341e-01, -1.665913e-01
2.902889600000e-02, 1.737138e-01, -1.663384e-01
2.928100800000e-02, 1.735145e-01, -1.660833e-01
2.953312000000e-02, 1.733159e-01, -1.658312e-01
2.978523200000e-02, 1.731181e-01, -1.655761e-01
3.003734400000e-02, 1.729449e-01, -1.653239e-01
3.028945600000e-02, 1.727464e-01, -1.650688e-01
3.054156800000e-02, 1.726515e-01, -1.648159e-01
3.079368000000e-02, 1.724333e-01, -1.645601e-01
3.104579200000e-02, 1.723080e-01, -1.643065e-01
3.129790400000e-02, 1.721920e-01, -1.640515e-01
3.155001600000e-02, 1.720688e-01, -1.637993e-01
3.180212800000e-02, 1.718928e-01, -1.635442e-01
3.205424000000e-02, 1.718087e-01, -1.632920e-01
3.230635200000e-02, 1.718326e-01, -1.630370e-01
3.255846400000e-02, 1.717920e-01, -1.627841e-01
3.281057600000e-02, 1.718696e-01, -1.625283e-01
3.306268800000e-02, 1.718920e-01, -1.622746e-01
3.331480000000e-02, 1.718174e-01, -1.620181e-01
3.356691200000e-02, 1.715949e-01, -1.617652e-01
3.381902400000e-02, 1.715080e-01, -1.615109e-01
3.407113600000e-02, 1.715355e-01, -1.612572e-01
3.432324800000e-02, 1.713899e-01, -1.610036e-01
3.457536000000e-02, 1.713558e-01, -1.607500e-01
3.482747200000e-02, 1.713203e-01, -1.604957e-01
3.507958400000e-02, 1.712797e-01, -1.602413e-01
3.533169600000e-02, 1.713196e-01, -1.599870e-01
3.558380800000e-02, 1.714413e-01, -1.597326e-01
3.583592000000e-02, 1.718254e-01, -1.594790e-01
3.608803200000e-02, 1.720116e-01, -1.592254e-01
3.634014400000e-02, 1.721449e-01, -1.589717e-01
3.659225600000e-02, 1.723870e-01, -1.587181e-01
3.684436800000e-02, 1.726652e-01, -1.584645e-01
3.709648000000e-02, 1.729515e-01, -1.582101e-01
3.734859200000e-02, 1.733848e-01, -1.579536e-01
3.760070400000e-02, 1.739848e-01, -1.577000e-01
3.785281600000e-02, 1.745145e-01, -1.574457e-01
