% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -123.3 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:30:10 -0500
% Time (s), Channel A (V), Channel B (V)
-2.3932632000e-02, 7.3933334155e-02, -1.5280000170e-01
-2.3914624000e-02, 7.3933334155e-02, -1.5276666837e-01
-2.3896616000e-02, 7.3666667486e-02, -1.5276666837e-01
-2.3878608000e-02, 7.3400000816e-02, -1.5273333503e-01
-2.3860600000e-02, 7.4466667495e-02, -1.5273333503e-01
-2.3842592000e-02, 7.3666667486e-02, -1.5270000170e-01
-2.3824584000e-02, 7.3933334155e-02, -1.5266666836e-01
-2.3806576000e-02, 7.3933334155e-02, -1.5266666836e-01
-2.3788568000e-02, 7.3666667486e-02, -1.5263333503e-01
-2.3770560000e-02, 7.3400000816e-02, -1.5263333503e-01
-2.3752552000e-02, 7.3933334155e-02, -1.5260000170e-01
-2.3734544000e-02, 7.3133334146e-02, -1.5260000170e-01
-2.3716536000e-02, 7.3666667486e-02, -1.5256666836e-01
-2.3698528000e-02, 7.3400000816e-02, -1.5253333503e-01
-2.3680520000e-02, 7.3933334155e-02, -1.5253333503e-01
-2.3662512000e-02, 7.3933334155e-02, -1.5250000170e-01
-2.3644504000e-02, 7.3666667486e-02, -1.5250000170e-01
-2.3626496000e-02, 7.3666667486e-02, -1.5246666836e-01
-2.3608488000e-02, 7.3400000816e-02, -1.5243333503e-01
-2.3590480000e-02, 7.3666667486e-02, -1.5243333503e-01
-2.3572472000e-02, 7.3666667486e-02, -1.5240000169e-01
-2.3554464000e-02, 7.3666667486e-02, -1.5240000169e-01
-2.3536456000e-02, 7.3400000816e-02, -1.5236666836e-01
-2.3518448000e-02, 7.3933334155e-02, -1.5236666836e-01
-2.3500440000e-02, 7.3666667486e-02, -1.5233333503e-01
-2.3482432000e-02, 7.3666667486e-02, -1.5230000169e-01
-2.3464424000e-02, 7.3666667486e-02, -1.5230000169e-01
-2.3446416000e-02, 7.4466667495e-02, -1.5226666836e-01
-2.3428408000e-02, 7.3666667486e-02, -1.5226666836e-01
-2.3410400000e-02, 7.3666667486e-02, -1.5223333503e-01
-2.3392392000e-02, 7.3933334155e-02, -1.5223333503e-01
-2.3374384000e-02, 7.3666667486e-02, -1.5220000169e-01
-2.3356376000e-02, 7.3666667486e-02, -1.5216666836e-01
-2.3338368000e-02, 7.3400000816e-02, -1.5216666836e-01
-2.3320360000e-02, 7.3400000816e-02, -1.5213333502e-01
-2.3302352000e-02, 7.3400000816e-02, -1.5213333502e-01
-2.3284344000e-02, 7.3666667486e-02, -1.5210000169e-01
-2.3266336000e-02, 7.3666667486e-02, -1.5210000169e-01
-2.3248328000e-02, 7.3666667486e-02, -1.5206666836e-01
-2.3230320000e-02, 7.3400000816e-02, -1.5203333502e-01
-2.3212312000e-02, 7.3400000816e-02, -1.5203333502e-01
-2.3194304000e-02, 7.3933334155e-02, -1.5200000169e-01
-2.3176296000e-02, 7.3666667486e-02, -1.5200000169e-01
-2.3158288000e-02, 7.3400000816e-02, -1.5196666836e-01
